"","Date","LC_returns_b","SC_returns_b","LC_returns_p","SC_returns_p","LC_weights_b","SC_weights_b","LC_weights_p","SC_weights_p"
"74","Jun-18","0.080969262","0.13773624","0.079804106","-0.058117919","0.89","0.11","0.87562213","0.124377869"
"75","Jul-18","0.329122228","0.237686012","0.039986887","0.006099232","0.89","0.11","0.869307749","0.130692251"
"76","Aug-18","0.150614878","0.322697775","0.027765429","0.015346198","0.89","0.11","0.884058213","0.115941787"
"77","Sep-18","0.04416719","-0.183261268","-0.029966431","-0.024221312","0.89","0.11","0.846085974","0.153914025"
"78","Oct-18","-0.569989324","-0.940414748","-0.048615322","0.016312588","0.89","0.11","0.799617044","0.200382957"
"79","Nov-18","0.230790734","-0.019449144","0.018503938","-0.023174973","0.89","0.11","0.860244123","0.139755876"
"80","Dec-18","-0.797102577","-1.228210276","-0.124974563","0.020471223","0.89","0.11","0.77984445","0.22015555"
"81","Jan-19","0.673713318","1.038470471","0.099161505","-0.00639516063","0.89","0.11","0.946092165","0.053907834"
"82","Feb-19","0.292885134","0.404139141","0.066436009","0.01494431","0.89","0.11","0.885713642","0.114286358"
"83","Mar-19","0.151924607","-0.26039825","-0.024783297","-0.044216273","0.89","0.11","0.837423161","0.162576839"
"84","Apr-19","0.293490509","0.238734176","0.071978035","-0.02027668","0.89","0.11","0.878416397","0.121583602"
"85","May-19","-0.570064366","-0.930337177","-0.0496771819","0.02078875658","0.89","0.11","0.797615575","0.202384424"
"86","Jun-19","0.672870605","0.662999336","0.053079143","0.014400347","0.89","0.11","0.907915964","0.092084036"
"87","Jul-19","0.063749996","0.078475283","0.041473398","0.051391627","0.89","0.11","0.854754261","0.14524574"
"88","Aug-19","-0.143219764","-0.538530755","-0.067711501","-0.009544229","0.89","0.11","0.818311747","0.181688252"
"89","Sep-19","0.234092318","0.306891338","0.056417017","0.038268086","0.89","0.11","0.876591929","0.123408071"
"90","Oct-19","0.09490959","-0.005503074","0.009424203","-0.041055205","0.89","0.11","0.860475585","0.139524414"
"91","Nov-19","0.25531014","0.242279518","0.02294753","-0.0286132402","0.89","0.11","0.879684221","0.12031578"
"92","Dec-19","0.275590957","0.452442293","0.016367546","0.024892931","0.89","0.11","0.891230433","0.108769566"
"93","Jan-20","-0.119620088","-0.529539478","-0.014846045","0.025438638","0.89","0.11","0.819457666","0.180542333"
"94","Feb-20","-0.844892464","-0.926058842","-0.127488604","0.008074577","0.89","0.11","0.804220289","0.195779711"
"95","Mar-20","-1.30935909","-1.979952874","-0.179739269","-0.000421603999999999","0.89","0.11","0.74555318","0.254446818"
"96","Apr-20","1.19727774","1.516017968","0.078286079","0.037772703","0.89","0.11","0.995427564","0.004572437"
"97","May-20","0.398738603","0.459190967","-0.001324522","-0.006927591","0.89","0.11","0.886393073","0.113606927"
"98","Jun-20","0.052193702","0.220321079","0.003727175","0.018082042","0.89","0.11","0.869930141","0.130069859"
"99","Jul-20","0.437005705","0.332430366","0.082733224","0.016527615","0.89","0.11","0.880873428","0.119126572"
"100","Aug-20","0.420834524","0.34370936","0.027423422","0.020481996","0.89","0.11","0.881069775","0.118930226"
"101","Sep-20","-0.271758208","-0.533306053","0.00161879","0.0106045296","0.89","0.11","0.820237227","0.179762771"
"102","Oct-20","-0.163164555","0.202443815","0.052170108","0.029659107","0.89","0.11","0.876667688","0.123332313"
"103","Nov-20","1.107646163","1.71341774","0.154312728","0.0033253014","0.89","0.11","1.021463327","-0.021463327"
"104","Dec-20","0.283133954","0.755451334","0.093732956","-0.026998607","0.89","0.11","0.920609686","0.079390313"
"105","Jan-21","-0.092677515","0.70947634","0.012191846","-0.060937946","0.89","0.11","0.920396662","0.079603339"
"106","Feb-21","0.364713657","0.75604979","0.074168148","0.028091632","0.89","0.11","0.913755628","0.086244371"
"107","Mar-21","0.548409914","0.238083738","0.037043325","0.046381818","0.89","0.11","0.866940215","0.133059787"
"108","Apr-21","0.376979735","0.092448044","0.063227325","0.009791778","0.89","0.11","0.861883782","0.138116219"
"109","May-21","0.156640681","0.36761121","0.026523366","0.012552052","0.89","0.11","0.885016583","0.1149834177"
