Date,L_allocation,L_selection,L_interation,S_allocation,S_selection,S_interation,L_total,S_total,allocation_total,selection_total,interaction_total,total
18-Jan,-0.096944855,-4.203725597,0.226002257,-0.189072507,-0.24430248,0.086054762,-4.074668195,-0.347320225,-0.286017363,-4.448028077,0.31205702,-4.42198842
18-Feb,-0.135465831,2.773708857,-0.019130386,-0.135288107,0.378023311,0.292728605,2.61911264,0.535463808,-0.270753939,3.151732168,0.273598219,3.154576449
18-Mar,0.000615243,1.37162503,0.002218323,0.04622567,-0.152983277,-0.004390766,1.374458596,-0.111148373,0.046840913,1.218641753,-0.002172442,1.263310223
18-Apr,-0.095785413,0.217825467,0.111653993,-0.207936558,-0.340768269,0.198341063,0.233694047,-0.350363763,-0.303721971,-0.122942802,0.309995056,-0.116669716
18-May,-0.067474001,-1.898242625,0.04384278,-0.064335119,-0.618172379,0.08289169,-1.921873845,-0.599615808,-0.13180912,-2.516415004,0.12673447,-2.521489653
18-Jun,-0.01877878,0.381246633,0.020301673,-0.019414431,-0.196556902,0.01194354,0.382769526,-0.204027793,-0.038193211,0.184689731,0.032245213,0.178741733
18-Jul,-0.037353236,-2.795148123,0.133273653,-0.054318772,-0.289076637,-0.008744655,-2.699227706,-0.352140064,-0.091672008,-3.08422476,0.124528998,-3.05136777
18-Aug,-0.124014065,-2.138623631,0.138511226,-0.166417862,-0.443677064,0.17766688,-2.12412647,-0.432428045,-0.290431927,-2.582300695,0.316178106,-2.556554515
18-Sep,-0.03577364,-1.25410325,0.109346973,-0.161915534,0.248941506,0.135002286,-1.180529917,0.222028258,-0.197689174,-1.005161745,0.244349259,-0.958501659
18-Oct,-0.159576989,5.525171804,-0.417369967,-0.469189475,1.168243416,1.16145792,4.948224848,1.860511861,-0.628766464,6.69341522,0.744087953,6.808736709
18-Nov,-0.083304238,-1.81504013,0.152062237,-0.270372144,-0.086240358,0.196460794,-1.746282131,-0.160151708,-0.353676382,-1.901280488,0.348523031,-1.906433839
18-Dec,-0.044320941,6.870817205,-0.77433669,-0.574301921,1.480965301,1.689510432,6.052159574,2.596173811,-0.618622863,8.351782506,0.915173742,8.648333385
19-Jan,-0.084370024,-5.265570787,-0.199914227,-0.29749995,-1.259271103,0.761283595,-5.549855038,-0.795487458,-0.381869974,-6.52484189,0.561369368,-6.345342496
19-Feb,-0.044517016,-2.601996685,0.080796251,-0.050697927,-0.494288796,0.062975864,-2.56571745,-0.482010859,-0.095214942,-3.096285481,0.143772115,-3.047728309
19-Mar,-0.057598755,-1.843714787,0.141406438,-0.242477376,0.277485951,0.160172933,-1.759907104,0.195181508,-0.300076131,-1.566228837,0.301579372,-1.564725596
19-Apr,-0.052480243,-2.315915095,0.134448407,-0.070269917,-0.329744568,0.028626886,-2.233946931,-0.371387598,-0.12275016,-2.645659663,0.163075293,-2.605334529
19-May,-0.068793055,5.193154051,-0.478053557,-0.520122505,1.110057929,1.196173858,4.646307439,1.786109282,-0.58891556,6.303211981,0.718120301,6.432416721
19-Jun,-0.047925101,-5.586432847,0.013025882,-0.067857195,-0.822782456,0.20669365,-5.621332066,-0.683946002,-0.115782296,-6.409215303,0.219719531,-6.305278068
19-Jul,-0.025940663,-0.303217578,0.026376332,-0.082821858,-0.069827643,0.080949968,-0.302781909,-0.071699532,-0.108762521,-0.373045221,0.1073263,-0.374481441
19-Aug,-0.118539802,0.598897802,0.075038553,-0.498795277,0.597712083,0.677767678,0.555396552,0.776684484,-0.617335079,1.196609885,0.752806231,1.332081036
19-Sep,0.00418486,-1.234050932,0.042791105,-0.050267255,-0.314061966,0.018843672,-1.187074967,-0.345485549,-0.046082395,-1.548112898,0.061634777,-1.532560516
19-Oct,-0.072469594,-1.691681217,0.135102412,-0.238433424,-0.124304954,0.150348016,-1.629048399,-0.212390361,-0.310903017,-1.815986171,0.285450428,-1.84143876
19-Nov,-0.072917328,-2.838483677,0.126212048,-0.104847153,-0.376421568,0.066261001,-2.785188957,-0.415007721,-0.177764481,-3.214905245,0.192473049,-3.200196677
19-Dec,-0.030909037,-2.418051062,0.044405468,-0.319128101,-0.444379505,0.346923491,-2.404554632,-0.416584114,-0.350037138,-2.862430567,0.391328959,-2.821138746
20-Jan,-0.222134936,0.350182954,0.163963293,-0.713124618,0.590820519,0.838153818,0.29201131,0.71584972,-0.935259554,0.941003473,1.002117111,1.00786103
20-Feb,-0.082893093,6.547765114,-0.485080027,-0.212876717,1.111262218,0.998410369,5.979791994,1.89679587,-0.29576981,7.659027332,0.513330342,7.876587864
20-Mar,-0.667893359,9.37790525,-0.724990407,-2.340247638,2.339279544,4.358034258,7.985021484,4.357066165,-3.008140996,11.71718479,3.633043852,12.34208765
